Ind1,HapIndex1,Ind2,HapIndex2,Scaffold,IBDStart,IBDEnd,Lod,IBDlen,pw_dist
CB001,1,CB047,1,2,68.842,70.416,3.07,1.574,174.45370858858365
CB001,1,CB047,1,5,74.357,75.36,4.05,1.003,174.45370858858365
CB001,1,CB047,1,6,3.472,6.134,5.78,2.662,174.45370858858365
CB001,1,CB047,2,7,70.674,73.904,3.64,3.23,174.45370858858365
CB001,2,CB061,1,1,7.916,22.253,3.9,14.337,1059.1276904410072
CB001,2,CB061,1,2,1.685,3.232,3.32,1.547,1059.1276904410072
CB001,1,CB061,2,2,94.504,121.518,14.79,27.014,1059.1276904410072
CB001,2,CB061,1,3,32.812,36.442,19.94,3.63,1059.1276904410072
CB001,2,CB061,1,3,73.992,75.684,6.55,1.692,1059.1276904410072
CB001,1,CB061,2,4,34.912,47.188,11.47,12.276,1059.1276904410072
CB001,1,CB061,2,4,106.36,106.902,3.53,0.542,1059.1276904410072
CB001,2,CB061,1,4,114.234,115.77,5.7,1.536,1059.1276904410072
CB001,1,CB061,2,5,77.161,159.729,7.79,82.568,1059.1276904410072
CB001,1,CB061,2,5,180.102,210.819,6.23,30.717,1059.1276904410072
CB001,1,CB063,2,2,17.581,18.997,3.91,1.416,1129.5454481039967
CB001,1,CB063,1,3,30.799,31.339,3.19,0.54,1129.5454481039967
CB001,1,CB063,1,3,184.198,185.174,3.41,0.976,1129.5454481039967
CB001,1,CB063,2,6,76.881,78.569,3.16,1.688,1129.5454481039967
CB001,2,CB068,2,2,1.119,1.201,3.35,0.082,2309.3621000258504
CB001,2,CB068,2,4,41.763,43.709,3.38,1.946,2309.3621000258504
CB001,2,CB068,2,4,96.991,97.451,3.84,0.46,2309.3621000258504
CB001,2,CB073,1,1,12.724,13.075,3.39,0.351,3517.8348901644717
CB001,2,CB074,2,1,7.659,27.665,6.26,20.006,4436.721874356224
CB001,1,CB074,1,2,42.876,44.304,5.23,1.428,4436.721874356224
CB001,2,CB074,1,2,57.631,111.922,5.45,54.291,4436.721874356224
CB001,2,CB074,2,3,22.071,25.596,4.0,3.525,4436.721874356224
CB001,2,CB074,1,4,9.822,10.945,3.11,1.123,4436.721874356224
CB001,2,CB074,2,4,110.795,114.2,7.1,3.405,4436.721874356224
CB001,2,CB074,2,5,70.8,72.035,4.33,1.235,4436.721874356224
CB001,2,CB074,2,5,75.942,76.892,6.02,0.95,4436.721874356224
CB001,1,CB074,1,6,13.401,14.783,3.13,1.382,4436.721874356224
CB001,1,CB074,1,7,34.512,44.148,9.92,9.636,4436.721874356224
CB001,2,CB075,2,3,102.458,103.306,4.29,0.848,4071.6697728930703
CB001,1,CB075,1,5,156.35,185.48,4.48,29.13,4071.6697728930703
CB001,2,CB077,2,5,0.578,21.109,3.17,20.531,3756.944309351319
CB001,1,CB078,1,3,102.458,105.039,4.59,2.581,3868.69742073513
CB001,1,CB078,1,5,67.218,67.664,5.65,0.446,3868.69742073513
CB001,1,CB078,1,5,88.101,91.384,7.95,3.283,3868.69742073513
CB001,1,CB081,2,1,7.797,7.847,3.42,0.05,3656.441807237911
CB001,2,CB081,2,5,67.32,67.45,3.9,0.13,3656.441807237911
CB001,1,CB081,1,5,157.45,159.306,3.77,1.856,3656.441807237911
CB001,2,CB082,2,5,67.318,72.84,3.4,5.522,3453.705808400997
CB001,2,CB082,2,6,1.73,2.225,3.21,0.495,3453.705808400997
CB001,2,CB083,1,1,7.696,7.746,6.65,0.05,3390.231174128434
CB001,1,CB083,2,1,45.574,45.874,3.34,0.3,3390.231174128434
CB001,2,CB083,1,2,42.028,42.251,3.24,0.223,3390.231174128434
CB001,2,CB083,1,4,0.962,1.349,3.29,0.387,3390.231174128434
CB001,1,CB083,1,5,146.532,149.082,6.69,2.55,3390.231174128434
CB001,1,CB083,1,7,46.744,57.213,3.03,10.469,3390.231174128434
CB001,1,CB085,2,1,5.796,6.351,6.13,0.555,2806.9479764213283
CB001,1,CB085,2,1,39.929,40.094,3.2,0.165,2806.9479764213283
CB001,1,CB085,2,7,18.758,19.466,3.45,0.708,2806.9479764213283
CB001,1,CB086,1,3,9.257,12.416,5.64,3.159,2983.5212070041603
CB001,1,CB086,1,4,111.975,113.944,6.64,1.969,2983.5212070041603
CB001,2,CB086,1,5,67.32,67.441,3.08,0.121,2983.5212070041603
CB001,1,CB087,2,1,27.76,28.084,4.04,0.324,3373.850504469967
CB001,2,CB087,1,7,3.47,3.67,4.11,0.2,3373.850504469967
CB001,1,CB087,1,7,31.448,31.946,4.13,0.498,3373.850504469967
CB001,1,CB088,2,1,27.76,28.084,4.64,0.324,3439.1482919454065
CB001,1,CB090,2,6,13.401,14.941,3.37,1.54,3425.5407795519136
CB001,2,CB092,2,3,109.852,110.087,3.75,0.235,3032.632065387884
CB001,2,CB092,2,4,97.962,98.725,3.77,0.763,3032.632065387884
CB001,2,CB092,2,5,66.831,67.162,3.85,0.331,3032.632065387884
CB001,2,CB092,2,6,23.758,24.158,3.13,0.4,3032.632065387884
CB001,1,CB093,1,2,62.481,64.202,3.57,1.721,2899.328447503741
CB001,1,CB093,1,4,84.828,86.352,4.64,1.524,2899.328447503741
CB001,2,CB100,1,1,7.808,22.508,4.44,14.7,1353.8409516348117
CB001,1,CB100,1,2,49.649,49.771,3.27,0.122,1353.8409516348117
CB001,2,CB100,1,2,60.938,61.934,8.24,0.996,1353.8409516348117
CB001,1,CB100,2,3,4.597,116.022,3.32,111.425,1353.8409516348117
CB001,2,CB100,1,5,153.982,154.471,3.77,0.489,1353.8409516348117
CB001,1,CB100,2,7,21.764,22.142,3.69,0.378,1353.8409516348117
CB001,1,CB102,2,3,85.733,87.653,4.54,1.92,949.1726166227598
CB001,1,CB102,2,6,40.232,78.569,3.3,38.337,949.1726166227598
CB001,1,CB103,2,1,22.257,22.508,3.11,0.251,746.8872696230131
CB001,1,CB103,1,3,101.93,102.386,4.17,0.456,746.8872696230131
CB001,1,CB103,1,7,45.261,46.334,7.27,1.073,746.8872696230131
CB001,1,CB151,1,2,17.581,18.922,4.19,1.341,1497.320504485549
CB001,1,CB151,1,3,30.799,100.99,3.23,70.191,1497.320504485549
CB001,1,CB151,2,6,76.881,78.569,3.16,1.688,1497.320504485549
CB001,2,CB151,2,7,14.524,14.713,3.41,0.189,1497.320504485549
CB001,2,CB154,2,1,7.88,7.93,3.42,0.05,2022.203717992247
CB001,2,CB154,2,2,8.599,10.703,3.04,2.104,2022.203717992247
CB001,2,CB154,2,3,32.408,34.617,8.3,2.209,2022.203717992247
CB001,2,CB154,2,3,84.667,186.257,3.75,101.59,2022.203717992247
CB001,1,CB154,1,5,59.408,63.488,4.46,4.08,2022.203717992247
CB001,2,CB156,2,1,7.92,10.742,5.22,2.822,2236.881403191739
CB001,2,CB156,2,2,35.186,36.17,4.15,0.984,2236.881403191739
CB001,2,CB156,2,3,100.213,100.913,5.35,0.7,2236.881403191739
CB001,1,CB156,1,7,24.622,25.044,4.2,0.422,2236.881403191739
CB001,1,CB158,1,2,1.685,36.17,3.62,34.485,2420.6972666258675
CB001,2,CB158,1,2,48.316,48.445,3.4,0.129,2420.6972666258675
CB001,1,CB158,1,3,0.22,72.132,4.14,71.912,2420.6972666258675
CB001,1,CB158,2,3,100.283,100.913,3.06,0.63,2420.6972666258675
CB001,1,CB158,1,6,10.174,11.342,3.3,1.168,2420.6972666258675
CB001,1,CB158,1,7,70.674,73.799,3.78,3.125,2420.6972666258675
CB001,2,CB159,2,1,7.681,7.831,3.44,0.15,2533.106947405837
CB001,2,CB159,1,2,35.186,36.17,4.15,0.984,2533.106947405837
CB001,1,CB159,2,3,30.674,31.32,3.98,0.646,2533.106947405837
CB001,2,CB160,1,1,7.815,7.865,4.9,0.05,2691.040794225761
CB001,2,CB160,1,2,17.581,49.606,4.21,32.025,2691.040794225761
CB001,2,CB160,1,3,3.888,31.383,4.46,27.495,2691.040794225761
CB001,2,CB160,1,4,22.451,22.767,3.6,0.316,2691.040794225761
CB001,2,CB160,2,4,30.712,32.186,3.73,1.474,2691.040794225761
CB001,2,CB160,1,4,76.995,107.929,5.44,30.934,2691.040794225761
CB001,2,CB160,1,5,30.497,30.547,7.21,0.05,2691.040794225761
CB001,2,CB160,2,6,23.758,25.96,3.13,2.202,2691.040794225761
CB001,2,CB160,1,7,67.857,68.778,3.64,0.921,2691.040794225761
CB001,2,CB160,2,7,95.433,96.986,5.52,1.553,2691.040794225761
CB001,2,CB162,2,1,39.947,40.475,3.53,0.528,3019.9016015750926
CB001,2,CB162,1,2,19.179,21.401,3.16,2.222,3019.9016015750926
CB001,1,CB162,2,3,4.457,160.184,3.31,155.727,3019.9016015750926
CB001,2,CB162,1,4,30.546,32.186,4.56,1.64,3019.9016015750926
CB001,2,CB162,1,5,74.357,75.36,3.75,1.003,3019.9016015750926
CB001,2,CB162,1,7,4.522,55.508,6.78,50.986,3019.9016015750926
CB001,1,CB163,2,3,0.22,87.744,8.08,87.524,3147.868802840957
CB001,2,CB163,1,3,110.451,159.114,4.53,48.663,3147.868802840957
CB001,1,CB163,1,4,19.823,107.296,4.0,87.473,3147.868802840957
CB001,1,CB163,2,5,59.408,63.882,8.9,4.474,3147.868802840957
CB001,1,CB163,2,6,7.424,45.246,7.66,37.822,3147.868802840957
CB001,1,CB163,2,7,79.547,80.377,3.02,0.83,3147.868802840957
CB001,2,CB164,2,1,8.227,8.999,6.05,0.772,3152.079257266148
CB001,2,CB164,2,2,18.72,117.197,4.99,98.477,3152.079257266148
CB001,2,CB164,2,3,31.939,33.04,6.78,1.101,3152.079257266148
CB001,1,CB164,1,4,72.948,78.445,3.08,5.497,3152.079257266148
CB001,1,CB164,2,5,7.754,8.021,3.18,0.267,3152.079257266148
CB001,2,CB164,2,6,4.146,9.11,3.02,4.964,3152.079257266148
CB001,2,CB164,2,6,19.531,36.418,3.06,16.887,3152.079257266148
CB001,2,CB164,1,7,96.164,96.91,3.16,0.746,3152.079257266148
CB001,2,CB165,2,1,8.227,8.999,6.05,0.772,3468.371087485186
CB001,2,CB165,2,2,18.373,19.328,6.68,0.955,3468.371087485186
CB001,2,CB165,2,3,155.652,160.184,3.96,4.532,3468.371087485186
CB001,1,CB165,2,4,30.551,78.342,3.65,47.791,3468.371087485186
CB001,2,CB165,2,5,128.549,132.336,5.64,3.787,3468.371087485186
CB001,1,CB165,1,6,3.448,5.542,3.46,2.094,3468.371087485186
CB001,2,CB165,2,6,8.309,9.088,6.12,0.779,3468.371087485186
CB001,2,CB165,2,7,18.263,96.987,3.89,78.724,3468.371087485186
CB001,1,CB167,1,1,8.999,18.132,5.36,9.133,3639.5693611810475
CB001,1,CB167,2,2,49.681,49.927,3.63,0.246,3639.5693611810475
CB001,2,CB167,2,4,72.948,74.8,4.34,1.852,3639.5693611810475
CB001,1,CB167,1,5,65.814,67.028,17.0,1.214,3639.5693611810475
CB001,2,CB167,2,6,3.5,20.826,3.66,17.326,3639.5693611810475
CB001,1,CB167,1,7,27.985,47.772,3.16,19.787,3639.5693611810475
CB001,2,CB168,2,1,7.865,7.946,3.12,0.081,3691.37229183673
CB001,1,CB168,2,4,30.818,32.186,3.37,1.368,3691.37229183673
CB001,2,CB168,2,5,41.517,68.998,3.99,27.481,3691.37229183673
CB001,2,CB168,2,5,132.58,137.634,6.36,5.054,3691.37229183673
CB001,1,CB168,1,6,6.644,33.473,4.06,26.829,3691.37229183673
CB001,1,CB169,2,1,43.387,43.571,4.51,0.184,3835.577654853291
CB001,2,CB169,1,2,48.533,48.628,3.05,0.095,3835.577654853291
CB001,1,CB169,2,3,4.427,98.337,3.52,93.91,3835.577654853291
CB001,2,CB169,1,4,84.364,84.686,4.05,0.322,3835.577654853291
CB001,2,CB169,1,5,41.517,53.052,3.1,11.535,3835.577654853291
CB001,2,CB169,1,5,179.475,180.004,5.7,0.529,3835.577654853291
CB001,2,CB169,1,6,0.065,20.736,9.08,20.671,3835.577654853291
CB001,2,CB169,1,7,25.209,25.474,15.71,0.265,3835.577654853291
CB001,2,CB170,1,1,36.616,36.989,3.29,0.373,4129.7811665352665
CB001,2,CB170,1,1,43.387,46.027,5.79,2.64,4129.7811665352665
CB001,1,CB170,1,2,49.429,49.606,4.47,0.177,4129.7811665352665
CB001,2,CB170,1,3,36.484,38.005,5.98,1.521,4129.7811665352665
CB001,1,CB170,2,3,105.906,106.321,6.23,0.415,4129.7811665352665
CB001,1,CB170,2,5,7.756,7.806,3.45,0.05,4129.7811665352665
CB001,1,CB170,1,5,179.475,180.004,5.57,0.529,4129.7811665352665
CB001,2,CB170,1,6,0.18,0.298,7.0,0.118,4129.7811665352665
CB001,2,CB170,1,7,60.993,64.476,4.07,3.483,4129.7811665352665
CB001,2,CB177,1,1,7.642,30.846,3.85,23.204,2734.9415030436094
CB001,2,CB177,1,2,35.186,50.073,4.1,14.887,2734.9415030436094
CB001,1,CB177,2,2,107.335,111.922,4.41,4.587,2734.9415030436094
CB001,2,CB177,1,3,43.587,49.338,7.66,5.751,2734.9415030436094
CB001,2,CB177,1,4,30.546,74.876,3.13,44.33,2734.9415030436094
CB001,2,CB177,1,5,71.201,72.272,3.67,1.071,2734.9415030436094
CB001,1,CB177,1,6,2.756,3.338,4.26,0.582,2734.9415030436094
CB001,1,CB177,2,6,17.747,82.076,3.17,64.329,2734.9415030436094
CB001,2,CB177,1,7,18.277,43.79,4.51,25.513,2734.9415030436094
CB001,2,CB182,1,1,7.916,7.966,6.26,0.05,3128.521535364171
CB001,2,CB182,1,2,62.198,64.382,3.63,2.184,3128.521535364171
CB001,2,CB182,1,3,110.451,111.649,3.9,1.198,3128.521535364171
CB001,1,CB182,2,4,93.655,95.78,7.07,2.125,3128.521535364171
CB001,2,CB182,1,5,86.94,87.914,4.95,0.974,3128.521535364171
CB001,2,CB182,2,6,18.13,19.627,4.21,1.497,3128.521535364171
CB001,1,CB182,2,7,55.058,55.508,3.37,0.45,3128.521535364171
CB001,2,CB189,2,1,7.766,26.152,12.48,18.386,3085.3632214095637
CB001,2,CB189,2,2,49.706,50.675,5.94,0.969,3085.3632214095637
CB001,2,CB189,2,3,101.885,102.869,8.72,0.984,3085.3632214095637
CB001,2,CB189,2,3,109.077,109.623,12.28,0.546,3085.3632214095637
CB001,2,CB189,2,3,134.778,185.174,3.08,50.396,3085.3632214095637
CB001,1,CB189,2,4,20.52,90.302,4.88,69.782,3085.3632214095637
CB001,2,CB189,2,5,6.17,7.606,11.08,1.436,3085.3632214095637
CB001,2,CB189,2,6,29.927,45.078,6.33,15.151,3085.3632214095637
CB001,1,CB189,1,7,37.504,43.675,3.55,6.171,3085.3632214095637
CB001,2,CB283,2,4,23.703,23.776,4.01,0.073,3367.437407005295
CB001,1,CB322,1,1,7.841,7.891,3.06,0.05,2734.889859617701
CB001,1,CB322,2,2,43.073,43.53,3.38,0.457,2734.889859617701
CB001,2,CB322,2,3,84.99,87.448,3.35,2.458,2734.889859617701
CB001,1,CB322,1,6,58.583,59.033,3.07,0.45,2734.889859617701
CB001,1,CB323,1,7,24.952,25.1,4.07,0.148,2744.632533582873
CB001,2,CB324,1,5,171.567,173.262,5.32,1.695,2749.7053824427444
CB001,2,CB326,1,5,85.8,86.06,3.67,0.26,2776.879012293492
CB001,1,CB327,1,1,7.841,22.253,3.36,14.412,2765.4628684522368
CB001,1,CB327,1,2,16.344,17.314,3.28,0.97,2765.4628684522368
CB001,1,CB327,1,2,46.054,47.991,8.37,1.937,2765.4628684522368
CB001,1,CB327,2,4,95.175,95.78,3.66,0.605,2765.4628684522368
CB001,1,CB328,2,1,29.972,30.468,3.75,0.496,2753.2264656341936
CB001,2,CB328,2,2,14.148,17.314,4.63,3.166,2753.2264656341936
CB001,2,CB328,2,4,4.842,7.55,3.67,2.708,2753.2264656341936
CB001,2,CB329,2,1,22.052,22.253,3.93,0.201,2737.969911211703
CB001,1,CB329,2,2,16.344,17.492,3.28,1.148,2737.969911211703
CB001,1,CB329,2,4,80.69,81.31,7.03,0.62,2737.969911211703
CB001,1,CB333,2,1,7.816,43.305,3.16,35.489,2599.804369803911
CB001,1,CB333,2,3,84.744,87.775,5.26,3.031,2599.804369803911
CB001,1,CB333,2,4,16.814,17.747,3.36,0.933,2599.804369803911
CB001,1,CB333,2,6,29.948,30.186,3.79,0.238,2599.804369803911
CB001,1,CB335,1,6,60.427,62.499,5.93,2.072,2632.873593500738
CB001,1,CB336,1,1,6.056,6.513,3.14,0.457,2587.7662152545536
CB001,1,CB336,1,5,168.693,171.525,3.52,2.832,2587.7662152545536
CB001,1,CB336,2,5,178.015,179.21,3.96,1.195,2587.7662152545536
CB001,1,CB336,2,6,26.843,63.488,3.54,36.645,2587.7662152545536
CB001,1,CB337,1,3,49.627,181.838,3.16,132.211,2442.4150485984437
CB001,2,CB337,1,5,167.982,168.522,3.93,0.54,2442.4150485984437
CB001,1,CB338,1,3,14.492,15.425,4.12,0.933,2352.726927511899
CB001,1,CB338,1,5,103.213,114.57,3.42,11.357,2352.726927511899
CB001,1,CB338,1,6,6.281,6.782,3.46,0.501,2352.726927511899
CB001,1,CB340,2,2,70.59,71.045,3.13,0.455,2152.7836505867417
CB001,2,CB340,1,3,32.432,33.785,3.09,1.353,2152.7836505867417
CB001,1,CB340,2,5,178.015,179.21,3.96,1.195,2152.7836505867417
CB001,2,CB340,1,7,85.112,87.82,3.11,2.708,2152.7836505867417
CB001,2,CB341,1,6,58.554,59.033,3.12,0.479,2155.5653964167955
CB001,1,CB342,1,1,10.256,11.23,5.98,0.974,2206.2686363300704
CB001,2,CB342,2,1,20.873,21.832,3.25,0.959,2206.2686363300704
CB001,1,CB342,2,1,43.057,43.305,6.67,0.248,2206.2686363300704
CB001,2,CB342,1,3,50.843,52.404,3.13,1.561,2206.2686363300704
CB001,1,CB342,1,6,0.065,0.232,6.04,0.167,2206.2686363300704
CB001,2,CB342,1,6,17.029,17.521,7.7,0.492,2206.2686363300704
CB001,1,CB342,1,7,8.958,9.227,6.36,0.269,2206.2686363300704
CB001,1,CB345,2,1,44.207,44.946,10.33,0.739,2050.238592605227
CB001,1,CB345,2,5,176.502,177.706,8.89,1.204,2050.238592605227
CB001,1,CB347,1,1,16.957,17.096,5.64,0.139,2178.5908118280963
CB001,2,CB347,2,5,165.787,167.402,4.07,1.615,2178.5908118280963
CB001,2,CB347,1,6,58.583,59.513,5.45,0.93,2178.5908118280963
CB001,1,CB350,2,1,16.957,17.096,5.64,0.139,2319.4095581020115
CB001,1,CB350,2,4,45.949,46.464,8.12,0.515,2319.4095581020115
CB001,1,CB350,1,7,21.302,22.142,4.87,0.84,2319.4095581020115
CB001,1,CB351,2,1,10.256,11.23,5.68,0.974,2326.1295955151186
CB001,1,CB351,1,7,22.76,22.926,7.99,0.166,2326.1295955151186
CB001,2,CB352,2,4,4.122,4.809,3.34,0.687,2307.9498094758787
CB001,2,CB352,2,5,160.06,162.955,3.57,2.895,2307.9498094758787
CB001,2,CB352,1,7,11.079,11.193,3.01,0.114,2307.9498094758787
CB001,2,CB352,2,7,21.764,22.046,3.49,0.282,2307.9498094758787
CB001,2,CB353,2,1,7.731,7.783,4.04,0.052,2337.6459838476317
CB001,2,CB353,2,1,10.256,11.23,5.68,0.974,2337.6459838476317
CB001,1,CB353,2,1,22.254,22.373,3.25,0.119,2337.6459838476317
CB001,2,CB355,1,1,20.636,40.067,3.41,19.431,2464.0168631659394
CB001,2,CB355,1,3,114.132,118.117,4.71,3.985,2464.0168631659394
CB001,2,CB355,1,5,79.057,79.785,3.22,0.728,2464.0168631659394
CB001,2,CB357,1,3,36.599,38.079,4.23,1.48,2252.7319509790937
CB001,2,CB357,2,6,26.127,26.204,7.15,0.077,2252.7319509790937
CB001,2,CB358,2,1,22.326,22.517,3.13,0.191,2310.8418469364874
CB001,2,CB358,1,6,37.397,37.83,3.38,0.433,2310.8418469364874
CB001,1,CB359,1,1,27.76,28.084,4.04,0.324,2525.108868937141
CB001,2,CB362,2,3,185.181,186.124,3.85,0.943,2187.515592316436
CB001,2,CB362,1,4,16.828,17.988,3.13,1.16,2187.515592316436
CB001,1,CB363,1,3,11.609,12.98,11.06,1.371,1995.2598081663707
CB001,2,CB363,1,4,94.954,95.519,3.18,0.565,1995.2598081663707
CB001,2,CB363,2,5,69.066,69.35,3.52,0.284,1995.2598081663707
CB001,2,CB363,2,6,26.106,26.182,7.22,0.076,1995.2598081663707
CB001,1,CB364,2,1,39.772,39.914,3.12,0.142,1942.946995449092
CB001,1,CB364,1,3,11.609,12.969,11.74,1.36,1942.946995449092
CB001,1,CB364,1,5,178.17,179.106,3.02,0.936,1942.946995449092
CB001,1,CB364,1,6,17.521,44.657,3.0,27.136,1942.946995449092
CB001,1,CB364,1,7,46.406,46.738,5.16,0.332,1942.946995449092
CB001,2,CB367,1,1,7.366,16.972,3.78,9.606,1603.9477479552954
CB001,2,CB367,2,1,40.588,45.874,3.33,5.286,1603.9477479552954
CB001,1,CB367,1,2,29.406,31.34,6.11,1.934,1603.9477479552954
CB001,2,CB367,1,2,42.976,43.53,6.21,0.554,1603.9477479552954
CB001,1,CB367,2,2,57.636,111.922,9.17,54.286,1603.9477479552954
CB001,2,CB367,1,5,135.148,165.787,3.36,30.639,1603.9477479552954
CB001,2,CB367,1,6,15.911,17.041,4.77,1.13,1603.9477479552954
CB001,2,CB367,1,6,23.758,24.428,4.1,0.67,1603.9477479552954
CB001,2,CB367,1,7,11.151,17.855,3.26,6.704,1603.9477479552954
CB001,2,CB367,1,7,38.744,39.736,4.26,0.992,1603.9477479552954
CB001,2,CB369,1,7,85.106,88.41,3.03,3.304,1471.0849777975336
CB001,2,CB370,1,7,85.106,88.41,3.33,3.304,1313.2656352657625
CB001,1,CB373,1,1,7.916,7.966,3.6,0.05,974.0649998273333
CB001,1,CB373,1,2,42.68,43.406,3.15,0.726,974.0649998273333
CB001,1,CB373,2,5,150.2,150.428,3.35,0.228,974.0649998273333
CB001,1,CB373,1,6,2.714,3.369,6.76,0.655,974.0649998273333
CB001,1,CB373,1,7,18.07,18.388,3.67,0.318,974.0649998273333
CB001,1,CB375,1,7,24.057,25.044,3.0,0.987,1290.4924767117789
CB001,1,CB376,1,1,43.057,43.305,6.97,0.248,2679.8795555781785
CB001,1,CB377,1,7,81.371,85.238,3.14,3.867,2607.5726601295587
CB001,1,CB381,1,3,32.458,154.254,3.86,121.796,1900.8477618455247
CB001,2,CB382,1,1,5.825,6.187,5.48,0.362,1790.7319809028183
CB001,1,CB383,2,1,7.756,22.253,8.82,14.497,1674.0217606076471
CB001,1,CB383,2,2,70.628,71.688,5.63,1.06,1674.0217606076471
CB001,2,CB383,2,4,16.777,17.043,3.77,0.266,1674.0217606076471
CB001,2,CB383,2,7,48.572,48.82,4.51,0.248,1674.0217606076471
CB001,2,CB385,1,1,33.848,35.981,3.2,2.133,955.8118585802054
CB001,2,CB385,1,3,0.22,7.766,4.14,7.546,955.8118585802054
CB001,2,CB385,2,5,85.554,85.762,3.06,0.208,955.8118585802054
CB001,2,CB385,1,5,157.656,159.29,3.03,1.634,955.8118585802054
CB001,2,CB385,1,7,34.792,35.052,3.85,0.26,955.8118585802054
CB001,1,CB388,1,1,18.14,18.439,4.78,0.299,365.0542706989398
CB001,1,CB388,1,5,85.8,86.06,3.67,0.26,365.0542706989398
CB001,2,CB388,1,6,1.73,2.225,3.21,0.495,365.0542706989398
CB001,2,CB388,2,7,17.458,17.551,3.05,0.093,365.0542706989398
CB001,1,CB388,1,7,95.77,96.587,4.34,0.817,365.0542706989398
CB001,1,CB391,2,2,1.685,70.435,3.62,68.75,670.8136376142578
CB001,2,CB391,2,4,16.811,18.062,3.19,1.251,670.8136376142578
CB001,1,CB391,2,5,24.565,27.472,3.93,2.907,670.8136376142578
CB001,1,CB391,2,5,163.411,165.787,4.77,2.376,670.8136376142578
CB001,2,CB391,2,6,17.747,18.061,3.29,0.314,670.8136376142578
CB001,1,CB391,2,7,24.062,24.622,3.46,0.56,670.8136376142578
CB001,1,CB392,2,1,32.257,32.428,3.71,0.171,865.4259323291084
CB001,1,CB392,2,2,49.429,49.596,3.47,0.167,865.4259323291084
CB001,1,CB392,2,2,51.386,52.837,8.74,1.451,865.4259323291084
CB001,2,CB392,1,3,8.015,8.43,3.33,0.415,865.4259323291084
CB001,1,CB392,2,3,101.888,110.052,5.88,8.164,865.4259323291084
CB001,2,CB392,2,4,20.626,40.184,3.06,19.558,865.4259323291084
CB001,1,CB392,2,5,130.878,148.796,4.93,17.918,865.4259323291084
CB001,1,CB392,2,6,78.772,78.985,6.62,0.213,865.4259323291084
CB001,2,CB392,1,7,27.188,69.032,5.45,41.844,865.4259323291084
CB001,1,CB392,2,7,79.295,81.511,8.94,2.216,865.4259323291084
CB001,1,CB394,1,3,93.91,95.167,7.42,1.257,1038.873430633269
CB001,1,CB394,1,5,11.071,67.511,5.42,56.44,1038.873430633269
CB001,1,CB399,1,2,17.581,18.743,3.41,1.162,1010.911698408047
CB001,1,CB399,2,3,146.319,146.887,4.86,0.568,1010.911698408047
CB001,1,CB399,2,7,62.836,81.253,4.83,18.417,1010.911698408047
CB001,2,CB401,2,1,9.082,9.591,4.56,0.509,921.3212225615995
CB001,2,CB401,2,4,22.451,22.767,3.6,0.316,921.3212225615995
CB001,2,CB401,1,6,53.28,53.813,18.47,0.533,921.3212225615995
CB001,2,CB405,1,2,35.384,36.773,7.95,1.389,797.1206925761138
CB001,2,CB405,1,4,16.823,18.022,3.51,1.199,797.1206925761138
CB001,1,CB405,2,5,6.113,6.163,3.08,0.05,797.1206925761138
CB001,2,CB405,1,7,70.674,73.904,3.94,3.23,797.1206925761138
CB001,2,CB406,1,3,93.91,95.01,5.96,1.1,712.1429237196888
CB001,1,CB406,2,5,78.966,79.785,3.86,0.819,712.1429237196888
CB001,2,CB407,2,1,20.636,21.043,3.25,0.407,565.60279776512
CB001,2,CB407,2,2,35.246,36.17,3.91,0.924,565.60279776512
CB001,2,CB407,1,5,77.019,78.735,3.09,1.716,565.60279776512
CB001,1,CB410,2,3,100.291,100.708,3.05,0.417,216.8167390842397
CB001,1,CB410,1,6,80.309,81.546,3.74,1.237,216.8167390842397
CB001,2,CB412,2,3,30.674,31.339,3.14,0.665,455.90297340436655
CB001,1,CB412,2,7,3.47,12.402,3.89,8.932,455.90297340436655
CB001,2,CB414,1,1,5.705,6.351,8.31,0.646,663.858544057728
CB001,2,CB414,1,4,24.932,25.279,6.55,0.347,663.858544057728
CB001,1,CB416,2,3,6.298,7.548,3.15,1.25,711.3279125720408
CB001,1,CB416,1,4,0.506,1.31,3.96,0.804,711.3279125720408
CB001,2,CB416,2,4,23.703,23.776,4.01,0.073,711.3279125720408
CB001,1,CB416,2,7,70.674,73.816,3.64,3.142,711.3279125720408
CB001,2,CB417,1,1,43.032,43.373,5.89,0.341,774.7104638872404
CB001,1,CB417,1,7,30.265,31.449,7.45,1.184,774.7104638872404
CB001,2,CB418,1,1,6.056,18.312,3.14,12.256,908.1555093405602
CB001,1,CB418,1,3,99.963,100.913,5.32,0.95,908.1555093405602
CB001,2,CB418,1,4,16.777,81.353,3.51,64.576,908.1555093405602
CB001,2,CB418,2,5,3.327,5.108,3.91,1.781,908.1555093405602
CB001,1,CB418,1,6,32.276,32.893,3.28,0.617,908.1555093405602
CB001,2,CB475,2,2,59.263,60.356,6.01,1.093,8786.96495978642
CB001,2,CB475,2,5,71.666,71.937,4.57,0.271,8786.96495978642
CB001,2,CB475,2,6,10.174,11.444,3.31,1.27,8786.96495978642
CB001,2,CB475,2,7,24.835,47.772,4.5,22.937,8786.96495978642
CB001,1,CB477,1,1,40.588,42.284,3.17,1.696,8579.172789076103
CB001,1,CB477,1,2,1.516,1.721,3.68,0.205,8579.172789076103
CB001,1,CB477,1,2,60.971,61.674,3.99,0.703,8579.172789076103
